,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Action,1.0,0.584210526316,0.139473684211,0.194736842105,0.481578947368,0.0184210526316,0.202631578947,0.102631578947,0.360526315789,0.294736842105,0.168421052632,0.05,0.184210526316,0.0710526315789,0.618421052632,0.139473684211,0.560526315789,0.371052631579,0.463157894737
Adventure,0.502631578947,1.0,0.444736842105,0.247368421053,0.0868421052632,0.0157894736842,0.134210526316,0.494736842105,0.518421052632,0.181578947368,0.0526315789474,0.05,0.0921052631579,0.115789473684,0.428947368421,0.121052631579,0.244736842105,0.165789473684,0.236842105263
Animation,0.0421052631579,0.189473684211,1.0,0.2,0.00526315789474,0.0157894736842,0.0157894736842,0.573684210526,0.234210526316,0.00526315789474,0.00789473684211,0.105263157895,0.00789473684211,0.0368421052632,0.0789473684211,0.0736842105263,0.00526315789474,0.0105263157895,0.0105263157895
Comedy,0.142105263158,0.226315789474,0.410526315789,1.0,0.192105263158,0.0552631578947,0.155263157895,0.555263157895,0.294736842105,0.0421052631579,0.113157894737,0.423684210526,0.0631578947368,0.447368421053,0.142105263158,0.247368421053,0.0421052631579,0.0947368421053,0.15
Crime,0.184210526316,0.05,0.00789473684211,0.110526315789,1.0,0.0184210526316,0.186842105263,0.0131578947368,0.0315789473684,0.0473684210526,0.0578947368421,0.0447368421053,0.284210526316,0.0447368421053,0.0421052631579,0.0578947368421,0.281578947368,0.0210526315789,0.0526315789474
Documentary,0.0,0.0,0.00526315789474,0.0,0.0,1.0,0.0,0.00263157894737,0.00263157894737,0.0236842105263,0.0,0.0684210526316,0.0,0.0,0.0,0.0131578947368,0.0,0.0157894736842,0.0
Drama,0.197368421053,0.163157894737,0.118421052632,0.234210526316,0.536842105263,0.0710526315789,1.0,0.160526315789,0.223684210526,0.876315789474,0.197368421053,0.502631578947,0.515789473684,0.652631578947,0.210526315789,0.371052631579,0.360526315789,0.794736842105,0.365789473684
Family,0.0578947368421,0.292105263158,0.728947368421,0.263157894737,0.00789473684211,0.0342105263158,0.0289473684211,1.0,0.360526315789,0.00789473684211,0.0,0.168421052632,0.0184210526316,0.0631578947368,0.0736842105263,0.210526315789,0.0,0.00526315789474,0.0157894736842
Fantasy,0.205263157895,0.336842105263,0.294736842105,0.160526315789,0.0315789473684,0.00526315789474,0.0868421052632,0.392105263158,1.0,0.00789473684211,0.0894736842105,0.0842105263158,0.0631578947368,0.147368421053,0.173684210526,0.126315789474,0.0605263157895,0.0131578947368,0.0184210526316
History,0.0210526315789,0.0210526315789,0.00263157894737,0.00526315789474,0.0184210526316,0.0552631578947,0.0736842105263,0.00263157894737,0.00263157894737,1.0,0.0,0.0289473684211,0.00526315789474,0.0394736842105,0.0,0.0605263157895,0.0210526315789,0.334210526316,0.0473684210526
Horror,0.0578947368421,0.0236842105263,0.0157894736842,0.0315789473684,0.0368421052632,0.0157894736842,0.0368421052632,0.0,0.0763157894737,0.00789473684211,1.0,0.0210526315789,0.239473684211,0.0157894736842,0.126315789474,0.0736842105263,0.178947368421,0.0131578947368,0.0289473684211
Music,0.0,0.00263157894737,0.0394736842105,0.0315789473684,0.0157894736842,0.1,0.0263157894737,0.0605263157895,0.0342105263158,0.0236842105263,0.00263157894737,1.0,0.00526315789474,0.0578947368421,0.0,0.0315789473684,0.0,0.00789473684211,0.0184210526316
Mystery,0.0710526315789,0.0394736842105,0.00789473684211,0.0157894736842,0.152631578947,0.00263157894737,0.0947368421053,0.0105263157895,0.0368421052632,0.0131578947368,0.186842105263,0.0157894736842,1.0,0.0289473684211,0.0789473684211,0.110526315789,0.189473684211,0.0184210526316,0.0236842105263
Romance,0.0157894736842,0.0657894736842,0.0657894736842,0.242105263158,0.0473684210526,0.0,0.242105263158,0.0921052631579,0.160526315789,0.152631578947,0.0184210526316,0.313157894737,0.0657894736842,1.0,0.0631578947368,0.173684210526,0.0447368421053,0.152631578947,0.115789473684
Science Fiction,0.378947368421,0.336842105263,0.123684210526,0.0789473684211,0.0447368421053,0.0105263157895,0.107894736842,0.102631578947,0.202631578947,0.0,0.165789473684,0.0210526315789,0.123684210526,0.0631578947368,1.0,0.121052631579,0.255263157895,0.0131578947368,0.0184210526316
TV Movie,0.0,0.0,0.0105263157895,0.0,0.0,0.00526315789474,0.0,0.0131578947368,0.00263157894737,0.0157894736842,0.0,0.0236842105263,0.0236842105263,0.00263157894737,0.00526315789474,1.0,0.0,0.00526315789474,0.00263157894737
Thriller,0.45,0.244736842105,0.0210526315789,0.05,0.607894736842,0.00263157894737,0.273684210526,0.00263157894737,0.118421052632,0.118421052632,0.571052631579,0.0210526315789,0.663157894737,0.102631578947,0.405263157895,0.152631578947,1.0,0.155263157895,0.0947368421053
War,0.0473684210526,0.0210526315789,0.00263157894737,0.00263157894737,0.0,0.0184210526316,0.0763157894737,0.0,0.00789473684211,0.281578947368,0.00263157894737,0.00789473684211,0.00789473684211,0.0315789473684,0.00263157894737,0.0157894736842,0.0289473684211,1.0,0.0342105263158
Western,0.0105263157895,0.0184210526316,0.00526315789474,0.00526315789474,0.0105263157895,0.0,0.0184210526316,0.00526315789474,0.00263157894737,0.0131578947368,0.00789473684211,0.0105263157895,0.0105263157895,0.0105263157895,0.00526315789474,0.00789473684211,0.00789473684211,0.0157894736842,1.0
